"Iteration","Method","TPR","FPR","MSE","Random_TPR","Random_FPR","gamma_mspe","opt_lambda_fixed","opt_lambda_random","re_var_x2","re_var_x3","glmmTMB_signal_collapse","Seed","glmmTMB_collapsed_vars"
36,"Bondell",1,0.4,0.00949679425655556,1,0.5,0.0427187144512342,0.4,0.4,0.00388191118224209,0,NA,12345,NA
37,"glmmTMB",1,1,0.0100950790511168,NA,NA,0.0408829146298222,1.22508372483069,NA,NA,NA,FALSE,12345,NA
37,"Lin",1,0,0.00142844947641533,1,0,0.0261533110185989,2.5,2.5,0,-7.02583148508918e-05,NA,12345,NA
37,"Bondell",1,0,0.00408079826066667,1,0,0.0283888717417897,0.4,0.4,0,0,NA,12345,NA
38,"glmmTMB",1,1,0.00161331307079398,NA,NA,0.023639183094477,1.22508372483069,NA,NA,NA,FALSE,12345,NA
38,"Lin",1,0,0.0101764759621028,1,0,0.0518873062395929,5,1,-0.000127046146348391,-2.74912706986644e-05,NA,12345,NA
38,"Bondell",1,0.4,0.000578609934888889,1,0,0.0236207801360298,0.4,0.4,0,0,NA,12345,NA
39,"glmmTMB",1,1,0.00642904899634799,NA,NA,0.0293437776851367,0.112775423252096,NA,NA,NA,FALSE,12345,NA
39,"Lin",1,0,0.00285557722895312,1,1,0.030617185483505,2.5,1,0.0115046951594425,0.00600686313561664,NA,12345,NA
39,"Bondell",1,0.2,0.000464422379888889,1,0.5,0.0230451704772054,0.4,0.4,0.00440915713199715,0,NA,12345,NA
40,"glmmTMB",1,1,0.00249602083684028,NA,NA,0.030144634491545,0.001,NA,NA,NA,FALSE,12345,NA
40,"Lin",0.666666666666667,0,0.0281306393399205,1,0,0.0906363705506822,5,2.5,1.352530532236e-05,0,NA,12345,NA
40,"Bondell",1,0.2,0.00515052917933333,1,0.5,0.0406623261106616,0.4,0.4,0.00853776580492227,0,NA,12345,NA
41,"glmmTMB",1,1,0.0272582951044117,NA,NA,0.0659010287396654,0.001,NA,NA,NA,FALSE,12345,NA
41,"Lin",1,0,0.0149521890634229,1,0.5,0.0464029762576372,2.5,2.5,0.00286859485819503,0,NA,12345,NA
41,"Bondell",1,0.2,0.0195870774938889,1,0.5,0.0547274466828356,0.4,0.4,0.00359757204145243,0,NA,12345,NA
42,"glmmTMB",1,1,0.0673454514993668,NA,NA,0.16720735000835,6.11816872991646,NA,NA,NA,FALSE,12345,NA
42,"Lin",0.666666666666667,0,0.028369670435571,1,0.5,0.0891990705787967,10,0.1,0.0025188784309533,-0.00661026933156447,NA,12345,NA
42,"Bondell",0.666666666666667,0.4,0.0474532566358889,1,0.5,0.127304167050622,0.4,0.4,0.000874886380053509,0,NA,12345,NA
43,"glmmTMB",1,1,0.0330080340822244,NA,NA,0.0983030212633806,0.001,NA,NA,NA,FALSE,12345,NA
43,"Lin",1,0,0.00966705270756628,1,0.5,0.0520635554792877,2.5,0.1,0.00876323067423641,-0.000505897884051024,NA,12345,NA
43,"Bondell",1,0.2,0.0147274488597778,1,0.5,0.0612010634911133,0.4,0.4,0.00772550769823737,0,NA,12345,NA
44,"glmmTMB",1,1,0.00384556691518632,NA,NA,0.0208558707331408,0.001,NA,NA,NA,FALSE,12345,NA
44,"Lin",0.666666666666667,0,0.0303050668236273,1,0,0.0791285083673679,5,0.1,0,-0.00122507281522577,NA,12345,NA
44,"Bondell",1,0.4,0.00559921811433333,1,0.5,0.0269224139494887,0.4,0.4,0.00111844207340474,0,NA,12345,NA
45,"glmmTMB",1,1,0.00162391800615489,NA,NA,0.0184330654591754,0.001,NA,NA,NA,FALSE,12345,NA
45,"Lin",0.666666666666667,0,0.0282418564161958,1,0,0.0738100706175626,10,0.5,-0.00096302715168246,-0.000838616789180134,NA,12345,NA
45,"Bondell",1,0.4,0.00290676035088889,1,0,0.0196961293652708,0.4,0.4,0,0,NA,12345,NA
46,"glmmTMB",1,1,0.00225192903525427,NA,NA,0.0248616214893092,0.001,NA,NA,NA,FALSE,12345,NA
46,"Lin",1,0,0.00227816895209366,1,0,0.0420840368420737,2.5,1,0,-0.000223947483012885,NA,12345,NA
46,"Bondell",1,0.4,0.000252882648333333,1,0,0.0252038588774992,0.4,0.4,0,0,NA,12345,NA
47,"glmmTMB",1,1,0.00660331358312784,NA,NA,0.038608206694675,0.001,NA,NA,NA,FALSE,12345,NA
47,"Lin",0.666666666666667,0,0.0279419010318644,1,0.5,0.0940131667783955,5,0.5,0,0.000894518787390952,NA,12345,NA
47,"Bondell",1,0.2,0.00562933262277778,1,0.5,0.0396673422172828,0.4,0.4,0,0.00885808225396068,NA,12345,NA
48,"glmmTMB",1,1,0.00381108741866584,NA,NA,0.0351801631904034,1.22508372483069,NA,NA,NA,FALSE,12345,NA
48,"Lin",1,0,0.00104702197983415,1,0,0.0234519820169826,2.5,2.5,0,0,NA,12345,NA
48,"Bondell",1,0.2,0.001800314884,1,0,0.0252672822663673,0.4,0.4,0,0,NA,12345,NA
49,"glmmTMB",1,1,0.00984092038014849,NA,NA,0.0299026353800591,0.001,NA,NA,NA,FALSE,12345,NA
49,"Lin",1,0,0.00500386075853498,1,0.5,0.0332531580074353,5,2.5,0,0.00196959333559839,NA,12345,NA
